WKT,name,description
"LINESTRING (92.87259674072266 20.132699966430664, 92.6196975708 23.840599060099997)",AKY -> AJL,256.7055318281972 mi
"LINESTRING (77.04049682617188 43.35210037231445, 80.291702 41.262501)",ALA -> AKU,220.06977768132919 mi
"LINESTRING (-73.80169677734375 42.74829864501953, -75.44080352783203 40.652099609375)",ALB -> ABE,167.70327500665027 mi
"LINESTRING (-0.5581560134887695 38.28219985961914, -1.8635200262099998 38.9485015869)",ALC -> ABC,84.17592806690281 mi
"LINESTRING (-103.683998108 30.384199142499998, -101.098998 29.332899)",ALE -> ACN,171.07836978455035 mi
"LINESTRING (23.371700286865 69.976097106934, 19.28190040588379 65.59030151367188)",ALF -> AJR,321.1465461096779 mi
"LINESTRING (3.215409994125366 36.691001892089844, -0.5581560134887695 38.28219985961914)",ALG -> ALC,234.25852690281764 mi
"LINESTRING (117.80899810791016 -34.94329833984375, 138.531006 -34.945)",ALH -> ADL,1171.5200044117175 mi
"LINESTRING (-98.02690124510002 27.740900039699998, -95.58830261230001 29.722499847399998)",ALI -> AAP,201.42192442221202 mi
"LINESTRING (16.5333 -28.575001, 18.813899993896484 -29.28179931640625)",ALJ -> AGZ,146.30192707084382 mi
"LINESTRING (8.12743 44.050598, 8.8029203414917 41.92359924316406)",ALL -> AJA,150.87501775909294 mi
"LINESTRING (-105.990997314 32.8399009705, -106.609001 35.040199)",ALM -> ABQ,156.09922686565187 mi
"LINESTRING (-90.0459976196 38.89030075069999, -92.54949951170002 38.0960006714)",ALN -> AIZ,146.08020235769047 mi
"LINESTRING (-92.40029907226562 42.557098388671875, -90.0459976196 38.89030075069999)",ALO -> ALN,281.7245860178534 mi
"LINESTRING (37.22439956665039 36.18069839477539, 35.280399322499996 36.9822006226)",ALP -> ADA,121.24197398769189 mi
"LINESTRING (169.3730010986328 -45.211700439453125, 174.792007446 -37.008098602299995)",ALR -> AKL,632.7695828015649 mi
"LINESTRING (-105.866997 37.434898, -106.609001 35.040199)",ALS -> ABQ,170.546623663896 mi
"LINESTRING (50.748 11.9582, 52.17499923706055 16.191699981689453)",ALU -> AAY,307.73934706168427 mi
"LINESTRING (-118.288002 46.09489822, -124.109 40.978101)",ALW -> ACV,457.9930709322281 mi
"LINESTRING (-85.9629974365 32.914699554399995, -84.19450378417969 31.535499572753906)",ALX -> ABY,140.58811846382443 mi
"LINESTRING (29.94890022277832 31.183900833129883, 33.8358001709 31.073299408)",ALY -> AAC,230.00650889017123 mi
"LINESTRING (-101.706001 35.219398, -99.68190002440001 32.4113006592)",AMA -> ABI,226.14032232467943 mi
"LINESTRING (48.987998962402344 -13.188400268554688, 44.430301666259766 -12.131699562072754)",AMB -> AJN,315.80074775378984 mi
"LINESTRING (20.274000167799997 11.0340003967, 38.799301147499996 8.97789001465)",AMC -> ADD,1268.2602305349658 mi
"LINESTRING (72.63469696039999 23.0771999359, 77.058601 20.698999)",AMD -> AKD,327.7574985618583 mi
"LINESTRING (37.59049987792969 6.0393900871276855, 38.799301147499996 8.97789001465)",AMH -> ADD,219.2657135760675 mi
"LINESTRING (116.095001221 -8.560709953309999, 124.7509994506836 6.366819858551025)",AMI -> AAV,1191.357639813505 mi
"LINESTRING (35.9931983948 31.7226009369, 35.991600036621094 31.972700119018555)",AMM -> ADJ,17.280631142985637 mi
"LINESTRING (-84.68800354 43.322101593, -85.6129989624 40.10860061649999)",AMN -> AID,227.09698011545933 mi
"LINESTRING (128.089004517 -3.7102599144, 124.7509994506836 6.366819858551025)",AMQ -> AAV,733.3584038732853 mi
"LINESTRING (4.76389 52.308601, 6.186388969421387 50.823055267333984)",AMS -> AAH,119.44411451871795 mi
"LINESTRING (131.20700073242188 -26.108299255371094, 138.531006 -34.945)",AMT -> ADL,749.6419456141505 mi
"LINESTRING (61.556400299072266 69.76329803466797, 90.57080078125 56.2682991027832)",AMV -> ACS,1278.7366509198662 mi
"LINESTRING (174.97300720214844 -37.029701232910156, 174.792007446 -37.008098602299995)",AMZ -> AKL,10.09620512985062 mi
"LINESTRING (-85.8581 33.5882, -85.9629974365 32.914699554399995)",ANB -> ALX,46.927961203185035 mi
"LINESTRING (-149.99600219726562 61.174400329589844, -152.4940033 57.75)",ANC -> ADQ,252.29008566168176 mi
"LINESTRING (-82.70939636230001 34.4945983887, -83.32630157470703 33.94860076904297)",AND -> AHN,51.62718253752373 mi
"LINESTRING (-0.312222 47.560299, -2.21472 49.706104)",ANE -> ACI,171.82555859384016 mi
"LINESTRING (-70.445099 -23.444501, -68.4039 -34.588299)",ANF -> AFA,779.7261396096557 mi
"LINESTRING (0.22145600616931915 45.72919845581055, 0.5905560255050659 44.17470169067383)",ANG -> AGF,108.91199857400727 mi
"LINESTRING (-159.54299926757812 61.581600189208984, -161.231002808 60.9029006958)",ANI -> AKI,73.12348939038671 mi
"LINESTRING (32.6885986328 39.949798584, 30.6011009216 38.726398468)",ANK -> AFY,139.95496732486527 mi
"LINESTRING (50.3202018737793 -14.99940013885498, 48.987998962402344 -13.188400268554688)",ANM -> AMB,153.7102984369409 mi
"LINESTRING (-131.57200622558594 55.04240036010742, -134.585007 57.503601)",ANN -> AGN,205.5758016067825 mi
"LINESTRING (-76.568398 38.942902, -76.866997 38.810799)",ANP -> ADW,18.473850752773032 mi
"LINESTRING (-85.083504 41.639702, -85.6129989624 40.10860061649999)",ANQ -> AID,109.3465443157445 mi
"LINESTRING (4.46027994156 51.1893997192, 4.76389 52.308601)",ANR -> AMS,78.41301897022336 mi
"LINESTRING (-73.35040283203125 -13.706399917602539, -70.445099 -23.444501)",ANS -> ANF,699.1497250569109 mi
"LINESTRING (-61.792702 17.1367, -64.4707260131836 9.430225372314453)",ANU -> AAO,562.0494002137248 mi
"LINESTRING (-160.190994 62.646702, -159.54299926757812 61.581600189208984)",ANV -> ANI,76.5126030251764 mi
"LINESTRING (16.144199371338 69.292503356934, 23.371700286865 69.976097106934)",ANX -> ALF,179.9725370205236 mi
"LINESTRING (12.506389 50.981945, 10.931667 48.425278)",AOC -> AGB,190.13854485341594 mi
"LINESTRING (30.5194 39.809898, 30.6011009216 38.726398468)",AOE -> AFY,74.9908646984018 mi
"LINESTRING (122.853996 41.105301, 108.931 32.708099)",AOG -> AKA,961.4722280549878 mi
"LINESTRING (-84.026703 40.706902, -85.083504 41.639702)",AOH -> ANQ,84.70287379344404 mi
"LINESTRING (13.3623 43.616299, 8.8029203414917 41.92359924316406)",AOI -> AJA,259.09692786574124 mi
"LINESTRING (140.6909942626953 40.73469924926758, 142.44700622558594 43.670799255371094)",AOJ -> AKJ,221.8709540557948 mi
"LINESTRING (27.145999908447266 35.4213981628418, 27.156999588 38.2924003601)",AOK -> ADB,198.37022849989634 mi
"LINESTRING (-57.1521 -29.6894, -54.842682 -25.454516)",AOL -> AGT,324.9731498619907 mi
"LINESTRING (-78.31999969 40.29639816, -79.9301986694336 40.354400634765625)",AOO -> AGC,84.91238722906638 mi
"LINESTRING (-76.46659851070001 -2.79612994194, -72.4083 -0.5833)",AOP -> ACR,319.2567844264768 mi
"LINESTRING (100.39800262451172 6.189670085906982, 99.430496 1.4001)",AOR -> AEG,337.5824622453346 mi
"LINESTRING (7.36872 45.738499, 8.12743 44.050598)",AOT -> ALL,122.39223531276804 mi
"LINESTRING (106.821699142 14.814715357, 106.959999084 23.7206001282)",AOU -> AEB,615.4099742974898 mi
"LINESTRING (-104.848999 39.57009888, -103.222000122 40.1755981445)",APA -> AKO,95.88212487515983 mi
"LINESTRING (-122.280998 38.2132, -124.109 40.978101)",APC -> ACV,214.387233242202 mi
"LINESTRING (-81.7752990723 26.1525993347, -85.02749634 29.72750092)",APF -> AAF,316.84964832507967 mi
"LINESTRING (-76.1688 39.466202, -76.568398 38.942902)",APG -> ANP,42.01247693659516 mi
"LINESTRING (-73.5627 4.07607, -72.4083 -0.5833)",API -> ACR,331.6544929934846 mi
"LINESTRING (-146.414993 -15.5736, -146.2570037841797 -14.428099632263184)",APK -> AHE,79.84654517006459 mi
"LINESTRING (39.28179931640625 -15.105600357055664, 44.430301666259766 -12.131699562072754)",APL -> AJN,402.1373913176693 mi
"LINESTRING (-83.56030273 45.0780983, -84.68800354 43.322101593)",APN -> AMN,133.56666416243067 mi
"LINESTRING (-76.7164 7.81196, -77.3 8.51667)",APO -> ACD,62.96029569378694 mi
"LINESTRING (-36.62919998168945 -9.775360107421875, -37.0703010559 -10.984000206)",APQ -> AJU,88.72761451659251 mi
"LINESTRING (-85.585297 35.060699, -85.8581 33.5882)",APT -> ANB,102.92481066406665 mi
"LINESTRING (-172.00799560546875 -13.829999923706055, -159.76400756835938 -18.830900192260742)",APW -> AIT,881.9173763156655 mi
"LINESTRING (-70.113602 -38.975498, -68.4039 -34.588299)",APZ -> AFA,317.53297319414156 mi
"LINESTRING (-48.1329994202 -21.812000274699997, -46.960399627686 -19.563199996948)",AQA -> AAX,172.87704809593615 mi
"LINESTRING (-91.15059661865234 15.012200355529785, -91.501999 14.8656)",AQB -> AAZ,25.55258814227223 mi
"LINESTRING (117.050003 30.582199, 108.931 32.708099)",AQG -> AKA,499.4835480631037 mi
"LINESTRING (46.125099 28.335199, 48.2282981873 30.371099472)",AQI -> ABD,189.2807355080782 mi
