Code,Location,Parent,Children
BMV,Buon Ma Thuot Vietnam,SGN,N/A
BMW,Algeria,AZR,N/A
BNA,United States,ORD,[OWB; TUP]
BNC,The Democratic Republic of The Congo,GOM,[BUX]
BND,Iran,THR,[AEU]
BNE,Australia,SYD,[BDB; CCL; CNS; CTL; EMD; GLT; HVB; ISA; IVR; LRE; MKY; MOV; NTL; PPP; RMA; ROK; TSV; WLE; ZBL]
BNI,Nigeria,LOS,N/A
BNK,Australia,SYD,N/A
BNN,Bronnoysund Norway,TRD,N/A
BNS,Venezuela,CCS,N/A
BNX,Bosnia and Herzegovina,BEG,N/A
BNY,tions with 1 airline in scheduled passenger traffic,HIR,N/A
BOB,Motu Mute,PPT,[PPT]
BOC,Panama,PAC,[PAC]
BOD,Bordeaux France,ORY,[LIL; LYS]
BOG,Bogota,MDE,[ADZ; AUC; AXM; BAQ; BGA; BLB; BUN; CLO; CTG; CUC; EJA; EYP; FLA; IBE; IPI; LET; LMC; MDE; MTR; MVP; MZL; NVA; PCR; PDA; PEI; PPN; PSO; PTX; PTY; PUU; RCH; SJE; SMR; SVI; TME; VGZ; VUP; VVC]
BOH,United Kingdom,DUB,N/A
BOI,l (BOI) is a mid-sized airport in United States,SEA,N/A
BOJ,Bourgas,DME,N/A
BOM,Bombay,DEL,[BHJ; BHU; DEL; DIU; GOI; JGA; KNU; NAG; RAJ]
BON,Kralendijk,CUR,[CUR]
BOO,Norway,OSL,[ANX; LKN; SKN; SSJ; SVJ; VRY]
BOS,Boston United States,DCA,[ACK; AUG; BHB; DCA; LEB; MSS; MVY; PHL; PVC; RKD; RUT; SLK]
BOY,Burkina Faso,OUA,N/A
BPC,Cameroon,DLA,N/A
BPE,China,SJW,N/A
BPG,Brazil,GYN,N/A
BPL,China,URC,N/A
BPN,Balikpapan Indonesia,CGK,[BEJ; GHS; KJT; TJS; TRK]
BPS,Brazil,GRU,N/A
BPT,Beaumont United States,DFW,N/A
BPX,China,CTU,N/A
BQB,Australia,MEL,N/A
BQG,Russian Federation,KHV,N/A
BQJ,Russian Federation,YKS,N/A
BQK,United States,ATL,N/A
BQL,Australia,BEU,[BEU]
BQN,Aguadilla,MCO,N/A
BQS,Ignatyevo Russia,DME,N/A
BRA,Brazil,SSA,N/A
BRC,Argentina,AEP,N/A
BRD,United States,MSP,N/A
BRE,Germany,MUC,N/A
BRI,Bari Italy,FCO,N/A
BRK,Australia,DBO,N/A
BRL,Burlington United States,ORD,N/A
BRM,Venezuela,CCS,N/A
BRO,United States,IAH,N/A
BRQ,Czech Republic,STN,N/A
BRR,Scotland,GLA,N/A
BRS,United Kingdom,AMS,N/A
BRU,Belgium,MAD,N/A
BRW,Barrow United States,ATK,[AIN; ATK; PIZ]
BSA,Somalia,MGQ,N/A
BSB,Brasilia,SDU,[AUX; BVB; MAB; RBR; THE; VCP]
BSC,Bahia Solano Colombia,EOH,N/A
BSD,China,KMG,N/A
BSG,Equatorial Guinea,SSG,[SSG]
BSI,Polilio Philippines,MNL,N/A
BSK,Algeria,ALG,N/A
BSL,Switzerland,AMS,[INI; OHD]
BSO,Philippines,CRK,N/A
BSR,Iraq,BGW,N/A
BST,Afghanistan,KBL,N/A
BTC,Sri Lanka,HRI,N/A
BTH,Batam Indonesia,CGK,[LMU; NTX; SIQ]
BTI,United States,SCC,N/A
BTJ,Banda Aceh Indonesia,CGK,N/A
BTK,Russian Federation,DME,N/A
BTM,Butte United States,SLC,N/A
BTR,United States,IAH,N/A
BTS,Bratislava,STN,N/A
BTT,United States,AET,N/A
BTU,Malaysia,KCH,N/A
BTV,United States,JFK,N/A
BTW,Indonesia,UPG,N/A
BUA,Papua New Guinea,RAB,[KIE]
BUC,Australia,DMD,N/A
BUD,Budapest,FRA,[TGM]
BUF,United States,JFK,N/A
BUN,Buenaventura Colombia,BOG,N/A
BUP,India,DEL,N/A
BUQ,Bulawayo,JNB,N/A
BUR,United States,OAK,[CCR; OAK]
BUS,Georgia,IST,N/A
BUT,Jakar,PBH,N/A
BUU,Indonesia,CGK,[KRC]
BUW,Indonesia,UPG,N/A
BUX,Congo,BNC,N/A
BUZ,Iran,THR,N/A
BVA,Beauvais France,OPO,[BZR]
BVB,Brazil,BSB,N/A
BVC,Sal Rei,SID,N/A
BVE,Brive France,ORY,N/A
BVG,Norway,HFT,N/A
BVH,Brazil,CGB,N/A
BVI,Australia,BEU,[WNR]
BVS,Brazil,BEL,[PTQ]
BWA,Bhairawa,KTM,N/A
BWB,Australia,PER,N/A
BWI,ton International (BWI) is a large airport in United States,ATL,[MCN]
BWN,Brunei,KUL,N/A
BWT,Burnie Australia,MEL,N/A
BWX,Banyuwangi Indonesia,CGK,N/A
BXB,Indonesia,SOQ,N/A
BXG,Australia,SYD,N/A
BXH,Kazakhstan,ALA,N/A
BXR,Iran,THR,N/A
BXU,Philippines,MNL,N/A
BYK,Cote d'Ivoire,ABJ,N/A
BYN,Mongolia,ULN,N/A
BYO,Brazil,VCP,[CMG]
BYP,Australia,PER,N/A
BZE,Belize City,SPR,[DGA; PLJ; PND; SPR]
BZG,Poland,WAW,N/A
BZK,Russian Federation,LED,N/A
BZL,Bangladesh,DAC,N/A
BZN,Bozeman United States,SEA,N/A
BZR,Beziers France,BVA,N/A
BZV,Congo,PNR,[PNR]
BZX,China,KMG,N/A
CAB,Angola,LAD,N/A
CAC,Brazil,CWB,N/A
CAE,United States,CLT,N/A
CAF,Brazil,MAO,N/A
CAG,Cagliari Italy,FCO,[CUF; PMF]
CAH,Vietnam,SGN,N/A
CAI,Egypt,JED,[AMM; ASW; HRG; LXR; RKT; RMF; SSH; YNB]
CAK,United States,ORD,N/A
CAL,United Kingdom,GLA,N/A
CAN,Guangzhou,SHA,[CGD; CZX; HAK; HGH; HYN; MXZ; NGB; NKG; NNY; NTG; WNZ; YIW]
CAP,Cap Haitien,PAP,N/A
CAT,Tires Portugal,PRM,[PRM; VSE]
CAW,Campos Brazil,GIG,[MEA]
CAX,United Kingdom,DUB,N/A
CAY,Cayenne,ORY,N/A
CAZ,Australia,SYD,N/A
CBB,Cochabamba,VVI,[ORU; TJA]
CBG,United Kingdom,GOT,N/A
CBH,Algeria,ALG,N/A
CBI,Australia,LST,N/A
CBL,Venezuela,CCS,N/A
CBO,Philippines,MNL,N/A
CBQ,Nigeria,ABV,N/A
CBR,Australia,SYD,N/A
CBT,Angola,LAD,N/A
CBW,Brazil,CWB,N/A
CCC,Cayo Coco,YYZ,N/A
CCF,Carcassonne France,CRL,N/A
CCJ,India,DXB,N/A
CCK,Cocos (Keeling) Islands,XCH,N/A
CCL,Australia,BNE,N/A
CCN,Afghanistan,KBL,N/A
CCP,Concepcion,SCL,N/A
CCR,Concord United States,BUR,N/A
CCS,Caracas,PMV,[BLA; BNS; BRM; CBL; CUM; LFR; LRV; MAR; MUN; PMV; PYH; PZO; STD; VIG]
CCU,Calcutta,DEL,[AJL; DIB; DMU; GAU; IXA; IXI; IXS; JRH; PBH; SHL]
CCV,Vanuatu,VLI,[ULB]
CDB,United States,ANC,[SDP]
CDC,United States,SLC,N/A
CDE,Chengde China,SJW,N/A
CDG,Paris,BCN,[ALG; CFE; FLR; LRT; OTP; RBA; RNS; VCE]
CDP,India,HYD,N/A
CDR,United States,DEN,N/A
CDT,Benlloch Spain and Canary Islands,LTN,N/A
CDV,Cordova United States,ANC,[YAK]
CEB,Philippines,MNL,[CGM; IAO; MNL; OZC; SUG]
CEC,Crescent City United States,OAK,N/A
CED,Ceduna Australia,ADL,N/A
CEE,Russian Federation,SVO,N/A
CEI,Thailand,DMK,N/A
CEK,Chelyabinsk Russian Federation,SVO,N/A
CEN,Mexico,MEX,[CUA]
CEZ,United States,DEN,N/A
CFB,Brazil,CNF,N/A
CFE,France,CDG,N/A
