Code,Location,Parent,Children
LQM,Colombia,FLA,N/A
LRD,Mexico,DFW,N/A
LRE,Australia,BNE,[BCI; BKQ; WIN]
LRH,La Rochelle France,PIS,[PIS]
LRM,Dominican Republic,VKO,N/A
LRR,Iran,SHJ,N/A
LRS,Greece,ATH,N/A
LRT,Lorient France,CDG,N/A
LRV,Venezuela,CCS,N/A
LSA,Papua New Guinea,GUR,N/A
LSC,La Serena Chile,SCL,N/A
LSE,United States,ORD,N/A
LSH,Myanmar,HEH,N/A
LSI,United Kingdom,ABZ,N/A
LSP,Paraguana,AUA,N/A
LST,Australia,MEL,[CBI; FLS]
LSW,Lhoksumawe Indonesia,KNO,N/A
LSY,Australia,GFN,[GFN]
LTI,Mongolia,ULZ,N/A
LTN,London United Kingdom,AMS,[BCM; CDT; CRA; DEB; KUN; TAT]
LTO,Mexico,TIJ,N/A
LUA,Nepal,KTM,N/A
LUD,Namibia,ERS,N/A
LUH,India,DEL,N/A
LUK,United States,BKL,[BKL; MMU; PDK]
LUM,China,KMG,N/A
LUN,Zambia,NLA,[JEK; KLB; MFU; NLA; SLI]
LUO,Angola,LAD,N/A
LUP,United States,MKK,N/A
LUQ,Argentina,AEP,N/A
LUV,Kai Islands Indonesia,AMQ,[DOB]
LUW,Luwuk Indonesia,UPG,N/A
LUX,Luxemburg,MUC,N/A
LUZ,Swidnik Poland,WAW,N/A
LVI,Zambia,JNB,N/A
LVO,Australia,LNO,N/A
LVP,Iran,SYZ,N/A
LWB,Lewisburg United States,ORD,N/A
LWE,Lewoleba Indonesia,KOE,N/A
LWK,wall Airport (LWK) is a smaller airport in United Kingdom,FIE,[FIE; FOA]
LWN,Armenia,VKO,N/A
LWO,Lvov,WAW,N/A
LWS,United States,SLC,N/A
LWY,Malaysia,MYY,[BKM]
LXA,China,CTU,[AHJ; GXH; NGQ]
LXG,Lao People's Democratic Republic,VTE,N/A
LXR,Egypt,CAI,N/A
LXS,Greece,ATH,N/A
LYA,China,SHA,N/A
LYB,Cayman Islands,GCM,N/A
LYC,Sweden,ARN,[VHM]
LYG,China,DLC,N/A
LYH,United States,CLT,N/A
LYI,China,HGH,N/A
LYP,Pakistan,KHI,N/A
LYR,Longyearbyen,OSL,N/A
LYS,Lyon,BOD,[CFR; ETZ; NTE; QSF]
LZC,Mexico,MEX,N/A
LZH,Liuzhou China,PEK,N/A
LZN,China,TSA,N/A
LZO,China,KMG,N/A
LZY,China,CTU,N/A
MAA,Madras India,DEL,[CJB; CMB; IXM; IXZ; RDP; SXV; TCR; TRZ]
MAB,Brazil,BSB,N/A
MAD,Madrid,BCN,[BCN; BIO; BJZ; BLQ; BRU; EAS; LCG; LEI; LIS; OPO; OVD; PNA; RJL; SCQ; SDR; TNG; VGO; XCR; XRY]
MAF,United States,DFW,N/A
MAG,Papua New Guinea,POM,N/A
MAH,Menorca Spain,PMI,N/A
MAJ,Majuro,KWA,[JEJ; KWA; LIK; MIJ; NDK; UIT; UTK; WTE]
MAM,Matamoros Mexico,MEX,N/A
MAN,United Kingdom,AMS,[EXT; IOM]
MAO,Manaus Brazil,GRU,[BAZ; CAF; CIZ; LBR; MBZ; PIN; PVH; SJL; TBT; TFF]
MAQ,Tak Thailand,DMK,N/A
MAR,Maracaibo,CCS,N/A
MAS,Los Negros Island Papua New Guinea,KVG,N/A
MAU,French Polynesia,RFP,N/A
MAZ,Mayaguez,SJU,N/A
MBA,Mombasa,NBO,[NBO; UKA]
MBE,Japan,HND,N/A
MBI,United Republic of Tanzania,DAR,N/A
MBJ,Montego Bay,NEG,[KTP; NEG; OCJ]
MBL,United States,MDW,N/A
MBS,Saginaw United States,DTW,N/A
MBT,Philippines,MNL,N/A
MBZ,Brazil,MAO,N/A
MCE,United States,LAX,N/A
MCG,United States,ANC,N/A
MCI,United States,ORD,N/A
MCK,United States,DEN,N/A
MCM,Monaco,NCE,[NCE]
MCN,Macon United States,BWI,N/A
MCO,United States,ATL,[BDL; BQN; EWR; ISP; LBE; PSE; TTN]
MCP,Brazil,BEL,N/A
MCT,Muscat,DXB,[DQM; KHS; SLL]
MCV,McArthur River Mine Australia,DRW,N/A
MCW,United States,MSP,N/A
MCX,Makhachkala Russian Federation,VKO,N/A
MCY, Coast (MCY) is a smaller airport in Australia,SYD,N/A
MCZ,Maceio Brazil,GRU,N/A
MDC,Manado Indonesia,CGK,[GLX; KAZ; MNA; NAH; TTE]
MDE,Rio Negro,BOG,[BOG]
MDG,China,DLC,N/A
MDK,Congo,FIH,N/A
MDL,Myanmar,RGN,[BMO; HOX; KHM; KMV; MYT]
MDQ,Argentina,AEP,N/A
MDR,United States,MRE,[OLG]
MDT,United States,ORD,N/A
MDW,United States,MSP,[MBL]
MDZ,Mendoza,AEP,N/A
MEA,Brazil,CAW,N/A
MEB,Australia,KNS,[KNS; WOL]
MEC,Manta,UIO,N/A
MED,Medina,RUH,N/A
MEE,Maré,GEA,N/A
MEH,Mehamn Norway,HVG,[BJF]
MEI,Meridian United States,ORD,N/A
MEL,Australia,SYD,[ADL; BQB; BWT; DPO; HBA; LST; MQL; PER; SYD]
MEM,United States,ATL,N/A
MEQ,Meulaboh Indonesia,KNO,N/A
MEU,Brazil,GGF,N/A
MEX,Mexico City,GDL,[ACA; AGU; BJX; CEN; CJS; CLQ; CME; CPE; CTM; CUL; CUN; CUU; CVM; DGO; GDL; HMO; HUX; IZT; LAP; LMM; LZC; MAM; MID; MTT; MTY; MXL; MZT; NLD; OAX; PAZ; PDS; PQM; PVR; PXM; REX; SJD; SLP; SLW; TAM; TAP; TGZ; TIJ; TPQ; TRC; TSL; VER; VSA; ZCL; ZIH; ZLO]
MFA,Tanzania,DAR,[KIY]
MFE,Mcallen United States,DFW,N/A
MFK,Maikeng China,TSA,N/A
MFM,Macao,TPE,N/A
MFQ,Niger,NIM,[ZND]
MFR,United States,SEA,N/A
MFU,Mpuwe,LUN,N/A
MGA,Nicaragua,PTY,[BEF; PUZ; SIU; WSP]
MGB,Australia,ADL,N/A
MGF,Brazil,CWB,N/A
MGH,South Africa,JNB,N/A
MGM,United States,ATL,N/A
MGQ,Somalia,NBO,[AAD; BSA; GLK; GUO; KMU]
MGT,Australia,MNG,N/A
MGU,Myanmar,KYP,N/A
MGW,United States,PIT,N/A
MGZ,Myanmar,RGN,N/A
MHC,Castro Chile,SCL,N/A
MHD,Iran,THR,[AJK; NSH; THR]
MHG,Germany,HAM,N/A
MHH,Marsh Harbor,FLL,N/A
MHK,United States,DFW,N/A
MHM,Lake Minchumina United States,ATD,[ATD]
MHQ,Finland,ARN,N/A
MHT,United States,PHL,N/A
MIA,United States,ATL,[GCM; HAV; NAS; UVF]
MID,Merida Mexico,MEX,N/A
MIG,China,PEK,N/A
MII,Brazil,CGH,N/A
MIJ,Marshall Islands,MAJ,[EJT]
MIM,Australia,MYA,[OOM]
MIR,Monastir,ORY,N/A
MIS,Papua New Guinea,GUR,N/A
MIU,Nigeria,ABV,N/A
MJB,Marshall Islands,AIM,[AIM]
MJC,Cote d'Ivoire,KEO,N/A
MJD,Mohenjo-daro Pakistan,KHI,N/A
MJE,Marshall Islands,JEJ,N/A
MJF,Mosjoen Norway,TRD,N/A
MJI,Tripoli,TUN,N/A
MJK,Denham Australia,CVQ,N/A
MJM,Mbuji-Mayi,FIH,N/A
MJN,Madagascar,DZA,N/A
MJT,Mytilini Greece,ATH,N/A
MJU,Mamuju Indonesia,UPG,N/A
MJZ,Russia,OVB,N/A
MKE,Milwaukee United States,ORD,N/A
MKG,United States,ORD,N/A
MKK,United States,HNL,[LUP]
MKL,Jackson United States,STL,N/A
MKM,Malaysia,KCH,N/A
MKP,French Polynesia,PPT,[HOI]
MKQ,Merauke Indonesia,DJJ,N/A
MKR,Australia,PER,[WUN]
MKW,Manokwari Indonesia,UPG,N/A
MKY,Australia,BNE,N/A
MKZ,Malaysia,PEN,N/A
MLA,Valletta,FCO,N/A
MLB,United States,ATL,N/A
MLE,Maldives,DRV,[DDD; DRV; GAN; GKK; HAQ; KDM; KDO; TMF; VAM]
MLG,Malang Indonesia,CGK,N/A
MLH,France,ORY,N/A
MLI,Moline United States,ORD,N/A
MLL,United States,RSH,N/A
MLM,Morelia Mexico,TIJ,N/A
MLN,Spain,AGP,N/A
MLO,Greece,ATH,N/A
MLU,United States,ATL,N/A
MLX,Malatya Turkey,SAW,N/A
MMB,Japan,CTS,N/A
MME,Darlington United Kingdom,AMS,N/A
MMG,Australia,PER,N/A
MMH,Mammoth Lakes United States,LAX,N/A
MMJ,Japan,FUK,N/A
MMK,Russian Federation,SVO,N/A
MMO,Cape Verde,RAI,N/A
MMU,United States,LUK,N/A
MMX,Malmo,BMA,[BMA]
MMY,Miyakojima Japan,OKA,N/A
MMZ,Afghanistan,KBL,N/A
MNA,Indonesia,MDC,N/A
MNC,Mozambique,MPM,N/A
MNG,Maningrida Australia,DRW,[ELC; MGT]
MNI,Plymouth,ANU,[ANU]
MNL,Manila,CEB,[BCD; BSI; BXU; CBO; CEB; CGY; CYZ; DGT; DPL; DVO; ENI; GES; ICO; ILO; LAO; LGP; MBT; MPH; MRQ; PAG; PPS; RXS; SJI; SWL; TAC; TAG; TBH; TUG; USU; VRC; WNP; ZAM]
MNS,Zambia,NLA,N/A
MNU,Myanmar,KAW,N/A
MNY,tions with 1 airline in scheduled passenger traffic,GZO,N/A
MOB,United States,ATL,N/A
MOC,Brazil,CNF,N/A
MOF,Maumere Indonesia,KOE,N/A
MOG,Mong Hsat Myanmar,HEH,N/A
MOH,Mohanbari India,PLW,N/A
MOL,Molde Norway,OSL,N/A
MOO,Australia,ADL,[BBL]
MOQ,Madagascar,TNR,N/A
MOT,United States,MSP,N/A
MOU,United States,KSM,[KSM]
MOV,Australia,BNE,N/A
MOZ,French Polynesia,PPT,N/A
MPA,Katima Mulilo Namibia,ERS,N/A
MPH,Caticlan Philippines,MNL,N/A
MPL,Montpellier France,ORY,N/A
MPM,Mozambique,JNB,[APL; BEW; INH; MNC; POL; TET; UEL; VPY]
MPN,Falkland Islands,SID,N/A
MQF,Russian Federation,SVO,N/A
MQJ,Khonu Russian Federation,YKS,N/A
MQL,Australia,MEL,N/A
MQM,Turkey,IST,N/A
MQN,Mo I Rana Norway,TRD,N/A
MQP,Nelspruit South Africa,JNB,[ASS; NGL; PZL]
MQQ,Chad,SRH,[SRH]
MQT,Marquette United States,DTW,N/A
MQX,Makale,ADD,[ADD; HUE]
MRA,Libyan Arab Jamahiriya,TUN,N/A
MRE,Masai Mara,HKR,[MDR; WIL]
MRQ,Gasan Philippines,MNL,N/A
MRS,Marseille,ORY,[CFK; CLY; FSC]
MRU,Plaisance,RUN,[RRG; RUN; ZSE]
MRV,Cherkessk Russia,SVO,N/A
MRX,Bandar Mahshahr Iran,THR,N/A
MRY,ula (MRY) is a mid-sized airport in United States,PHX,N/A
MRZ,Australia,SYD,N/A
MSA,Muskrat Dam Lake Canada,XBE,N/A
MSJ,Japan,HND,N/A
MSL,Muscle Shoals United States,ATL,N/A
MSN,Madison United States,ORD,N/A
MSO,United States,SEA,N/A
MSP,United States,ORD,[ABR; BIS; BJI; BRD; CIU; DLH; FAR; GFK; HIB; IMT; INL; MCW; MDW; MOT; RHI; TVF]
MSQ,Belarus,SVO,[IEV]
MSR,Turkey,SAW,N/A
MSS,United States,BOS,N/A
MST,Netherlands,ALC,N/A
MSU,Maseru,JNB,N/A
MSY,United States,ATL,N/A
MSZ,Mocamedes Angola,LAD,N/A
MTJ,United States,DEN,N/A
MTM,United States,KTN,N/A
MTR,Monteria Colombia,BOG,N/A
MTT,Mexico,MEX,N/A
MTV,Vanuatu,TOH,[TOH]
MTY,Monterrey,MEX,[PBC; QRO; TLC]
MUA,Solomon Islands,HIR,N/A
MUB,Botswana,JNB,N/A
MUC,Germany,TXL,[AOI; BRE; DRS; DUS; FMO; GRZ; HAJ; HAM; LUX; PAD; RJK; RLG; SBZ; VOL]
MUE,United States,OGG,N/A
MUN,Venezuela,CCS,N/A
MUR,Malaysia,MYY,[LBP; LGL; LKH; ODN]
MUX,Pakistan,DXB,N/A
MVB,Gabon,LBV,N/A
MVD,Montevideo,AEP,N/A
MVF,Mossoro Brazil,REC,N/A
MVL,United States,HPN,N/A
MVP,Mitu Colombia,BOG,N/A
MVR,Cameroon,GOU,N/A
MVT,French Polynesia,RGI,N/A
MVY,Vineyard Haven United States,BOS,N/A
MWA,Marion United States,STL,N/A
MWF,Vanuatu,SON,N/A
MWK,Matak Indonesia,TNJ,N/A
MWQ,Myanmar,RGN,N/A
MWX,South Korea,CJU,N/A
MWZ,Tanzania United Republic of,DAR,[BKZ]
MXH,Papua New Guinea,HGU,N/A
MXL,Mexicali Mexico,MEX,N/A
MXP,Milano,CTA,[CIY; OLB; SUF]
MXV,Mongolia,ULN,N/A
MXZ,China,CAN,N/A
MYA,Australia,SYD,[MIM]
MYD,Kenya,NBO,N/A
MYG,Bahamas,NAS,N/A
MYI,Australia,NLF,N/A
MYJ,Japan,ITM,N/A
MYP,Turkmenistan,ASB,N/A
MYQ,India,HYD,N/A
MYR,United States,CLT,N/A
MYT,Myanmar,MDL,[PBU]
MYU,United States,OOK,[NME]
MYW,Tanzania United Republic of,DAR,N/A
MYY,Malaysia,KUL,[BBN; LMN; LWY; MUR; MZV]
MZG,Taiwan,KHH,[CYI; KHH; TNN]
MZH,Turkey,IST,N/A
MZL,Manizales Colombia,BOG,N/A
MZO,Manzanillo Cuba,VRA,N/A
MZR,Mazar-I-Sharif,KBL,N/A
MZT,Mazatlan Mexico,MEX,N/A
MZV,Malaysia,MYY,N/A
NAA,Australia,SYD,N/A
NAG,India,BOM,N/A
NAH,Indonesia,MDC,N/A
NAJ,Nakhchivan,IST,N/A
NAL,Russian Federation,VKO,N/A
NAM,Indonesia,AMQ,N/A
NAN,Fiji,SUV,[KDV; RTA; SUV; SVU; TRW; TVU]
NAO,China,SZX,N/A
NAP,Italy,LIN,[TSF]
NAQ,Greenland,SRK,[SRK; THU]
NAS,Bahamas,MIA,[AXP; CRI; ELH; FPO; GGT; GHB; IGA; LGI; MYG; RSD; SML; ZSA]
NAT,Natal Brazil,GRU,N/A
NAV,Nevsehir Turkey,SAW,N/A
NAW,Thailand,DMK,N/A
NBC,United States,SVO,N/A
NBE,Tunisia,DJE,N/A
NBO,Nairobi,MBA,[BJM; EBB; EDL; FIH; KIS; MBA; MGQ; MYD; TNR; WJR]
NBS,China,YNT,N/A
NBX,Indonesia,DJJ,N/A
NCE,Nice,MCM,[MCM]
NCJ,Argentina,SFN,N/A
NCL,United Kingdom,ABZ,N/A
NCU,Uzbekistan,TAS,N/A
NDB,Mauritania,NKC,[OUZ]
NDC,India,HYD,N/A
NDG,China,DLC,N/A
NDJ,N'Djamena,DLA,[FYT]
NDK,Marshall Islands,MAJ,[KIO]
NDR,Nador Morocco,CMN,N/A
NDU,Namibia,ERS,N/A
NEG,Jamaica,MBJ,[MBJ]
NER,Chulman Russia,OVB,N/A
NEU,Lao People's Democratic Republic,VTE,N/A
NEV,Charlestown,SJU,N/A
NFO,Niuafoʻou Tonga,VAV,N/A
NGB,China,CAN,N/A
NGD,Anegada,STT,N/A
NGE,Cameroon,DLA,N/A
NGK,Russian Federation,UUS,N/A
NGL,South Africa,MQP,N/A
NGO,Japan,CTS,N/A
NGQ,Shiquanhe China,LXA,N/A
NGS,Japan,HND,[IKI]
NHV,Marquesas Islands French Polynesia,AUQ,[AUQ; UAH; UAP]
NIM,Niamey,OUA,[MFQ; OUA]
NIQ,Greenland,UMD,N/A
NIS,Papua New Guinea,RAB,N/A
NIU,Fakarava Niau French Polynesia,FAV,N/A
NJC,Russian Federation,SVO,N/A
NJF,Iraq,IKA,[DAM]
NKC,Mauritania,DSS,[NDB]
NKG,Nanjing China,CAN,[AVA; LCX]
NKI,United States,EDA,[WWP]
NKM,Japan,FUK,N/A
NKT, Mcas (NKT) is a smaller airport in United States,ESB,N/A
NLA,Zambia,LUN,[LUN; MNS]
NLD,Nuevo Laredo Mexico,MEX,N/A
NLF,Australia,OKR,[MYI]
NLH,China,KMG,N/A
NLI,Russian Federation,KHV,N/A
NLK,Australia,SYD,N/A
NLT,Xinyuan China,URC,N/A
NMA,Uzbekistan,TAS,N/A
NME,United States,MYU,N/A
NNB,Santa Ana Island Solomon Islands,IRA,N/A
NNG,Nanning China,PEK,[AEB]
NNM,Russian Federation,ARH,N/A
NNT,Thailand,DMK,N/A
NNX,Indonesia,TRK,N/A
NNY,China,CAN,N/A
NOB,Costa Rica,SJO,N/A
NOC,Ireland,STN,N/A
NOJ,Russian Federation,VKO,N/A
NOP,Turkey,IST,N/A
NOS,Nosibe,TNR,N/A
NOU,Noumea,SYD,N/A
NOV,Angola,LAD,N/A
NOZ,Novokuznetsk Russian Federation,DME,N/A
NPE,New Zealand,AKL,N/A
NPL,New Zealand,AKL,N/A
NQN,Neuquen Argentina,AEP,N/A
NQY,Newquay United Kingdom,LHR,N/A
NQZ,Tselinograd,ALA,N/A
NRA,Australia,GFF,N/A
NRE,Indonesia,AMQ,N/A
NRK,Norrkoping Sweden,VBY,N/A
NRN,Weeze Germany,PMO,N/A
NRR,Ceiba Puerto Rico,CPX,N/A
NRT,Japan,ICN,[SHI]
NSH,Iran,MHD,N/A
NSI,Cameroon,DLA,[DLA; GOU]
NSK,Norilsk Russian Federation,DME,[DKS; HTG]
NSN,New Zealand,WLG,N/A
NSQ,Greenland,JUV,N/A
NST,Nakhon Si Thammarat Thailand,DMK,N/A
NTB,Norway,BGO,N/A
NTE,France,LYS,N/A
NTG,China,CAN,N/A
NTL,Australia,BNE,N/A
NTN,Australia,CNS,[KRB; ONG]
NTQ,Wajima Japan,HND,N/A
NTT,Tonga,VAV,N/A
NTX,Indonesia,BTH,N/A
NUE,Nuremberg Germany,FRA,N/A
NUF,Hatton Sri Lanka,KCT,N/A
NUI,United States,SCC,[SCC]
NUL,United States,GAL,N/A
NUP,United States,ATT,[KUK]
NUS,Vanuatu,VLI,[LPM; SWJ]
NUX,Novy Urengoy Russia,DME,N/A
NVA,Neiva Colombia,BOG,N/A
NVI,Uzbekistan,DME,N/A
NVT,Brazil,CGH,N/A
NWA,Moheli,HAH,N/A
NWI,United Kingdom,AMS,N/A
NYA,Russian Federation,EYK,[EYK]
NYK,Kenya,WIL,N/A
NYM,Russian Federation,DME,N/A
NYO,Stockholm,GDN,N/A
NYR,Russian Federation,YKS,N/A
NYT,Naypyidaw Myanmar,RGN,N/A
NYU,Myanmar,RGN,[RGN]
NYW,Myanmar,HOX,N/A
NZH,China,HET,N/A
NZL,China,HET,N/A
OAG,Australia,SYD,N/A
OAJ,United States,CLT,N/A
OAK,United States,BUR,[BUR; CEC]
OAL,Germany,CGB,N/A
OAX,Oaxaca Mexico,MEX,N/A
OBN,Oban United Kingdom,COL,[COL]
OBO,Japan,HND,N/A
OBU,United States,ABL,[SHG]
OBY,Greenland,CNP,[CNP]
OCC,Coca Ecuador,UIO,N/A
OCJ,Ocho Rios,MBJ,N/A
ODN,Malaysia,MUR,N/A
ODO,Russian Federation,IKT,N/A
ODS,Odessa,IST,N/A
ODY,Muang Xay,VTE,N/A
OER,Sweden,BMA,N/A
OFU,United States,PPG,N/A
OGD,United States,AZA,N/A
OGG,United States,HNL,[HNL; HNM; MUE]
OGL,Georgetown,BGI,[ORG]
OGS,United States,IAD,N/A
OGU,Gulyali Turkey,SAW,N/A
OGX,Algeria,ALG,[ELG]
OGZ,Russian Federation,VKO,N/A
OHD,Macedonia,BSL,N/A
OHE,China,JGD,N/A
OHH,Russian Federation,UUS,N/A
OHS,Oman,SHJ,N/A
OIR,Japan,HKD,N/A
OIT,Japan,HND,N/A
OKA,Japan,HND,[ISG; MMY; UEO]
OKC,Oklahoma City United States,DFW,N/A
OKD,Japan,HKD,[RIS]
OKE,Wadomari Japan,KOJ,N/A
OKI,Japan,IZO,N/A
OKJ,Japan,HND,N/A
OKL,Indonesia,DJJ,N/A
OKR,Australia,HID,[NLF]
OLA,Norway,OSL,N/A
OLB,Italy,MXP,N/A
OLF,Wolf Point United States,BIL,N/A
OLG,Maasai Mara Kenya,MDR,N/A
OLH,United States,ADQ,N/A
OLP,Olympic Dam Mine Australia,ADL,N/A
OLX,Maasai Mara Kenya,OSJ,[KEU]
OLZ,Olpoi Vanuatu,YKS,N/A
OMA,Omaha United States,ORD,N/A
OMD,Namibia,ERS,N/A
OME,United States,SHH,[GAM; KTS; SHH; SVA; WAA; WMO]
OMH,Urmia Iran,THR,N/A
OMO,Bosnia and Herzegovina,ZAG,N/A
OMR,Romania,OTP,N/A
OMS,Omsk Russian Federation,SVO,N/A
OND,Namibia,ERS,[ERS]
ONG,Mornington Island Australia,NTN,N/A
ONJ,Japan,HND,N/A
ONK,Russian Federation,YKS,N/A
ONQ,Turkey,IST,N/A
ONS,Australia,PER,N/A
ONT,United States,PHX,N/A
OOK,United States,TNK,[MYU]
OOL,Coolangatta Australia,SYD,N/A
OOM,Australia,MIM,N/A
OPO,Portugal,MAD,[BVA; DLE; TUF]
OPS,Brazil,CGB,N/A
ORD,United States,LGA,[ABE; ALB; ALO; ATW; ATY; AZO; BMI; BNA; BRL; CAK; CGI; CID; CKB; CLE; CMH; CMI; CMX; COU; CVG; CWA; DAY; DBQ; DEC; DSM; DTW; EAU; EVV; FNT; FSD; FWA; GRB; GRR; ICT; IND; IWD; LAN; LEX; LGA; LNK; LSE; LWB; MCI; MDT; MEI; MKE; MKG; MLI; MSN; MSP; OMA; PAH; PIA; ROC; RST; SBN; SDF; SGF; SLN; SPI; STL; SUX; SYR; TOL; TVC; UIN; XNA]
ORF,United States,CLT,N/A
ORG,Paramaribo,OGL,N/A
ORH,United States,JFK,N/A
ORI,United States,ADQ,N/A
ORK,Ireland,LHR,N/A
ORN,Oran,ALG,N/A
ORT,United States,TKJ,[CZN]
ORU,Oruro Bolivia,CBB,N/A
ORV,Noorvik United States,IAN,[IAN]
ORY,Paris,TLS,[AGF; AJA; AUR; BES; BIA; BIQ; BJA; BOD; BVE; CAY; CMN; DCM; FEZ; LDE; LIG; LPY; MIR; MLH; MPL; MRS; OUD; PGF; PUF; RDZ; TLM; TLN; TLS; TUN; UIP]
ORZ,Belize,SPR,N/A
OSD,Ostersund Sweden,ARN,N/A
OSI,Croatia,ZAG,N/A
OSJ,Maasai Mara Kenya,ANA,[OLX]
OSL,Norway,TRD,[AES; BDU; BGO; BOO; CPH; EVE; FDE; HAU; HOV; LYR; MOL; OLA; RRS; SDN; SRP; SVG; TOS; TRD]
OSO, Airport (OSO) is a smaller airport in Australia,TSV,N/A
OSR,Ostrava,STN,N/A
OSS,Kyrgyzstan,FRU,[FRU]
OST,Belgium,ALC,[AOE]
OSW,Russian Federation,SVO,N/A
OSY,Norway,TRD,N/A
OTD,Contadora Island,SIC,N/A
OTH,North Bend United States,SFO,N/A
OTI,Morotai Island Indonesia,TTE,N/A
OTP,Bucharest,CDG,[BAY; CLJ; CRL; IAS; KIV; OMR; SCV; SUJ; TSR]
OTR,Costa Rica,SJO,N/A
OTZ,Kotzebue United States,WLK,[ABL; DRG; KVL; PHO; WLK; WTK]
OUA,Burkina Faso,NIM,[BOY; NIM]
OUD,Oujda Morocco,ORY,N/A
OUL,Finland,HEL,N/A
OUZ,Mauritania,NDB,N/A
OVB,Novosibirsk,DME,[IKU; KJA; MJZ; NER; TLK]
OVD,Aviles Spain,MAD,N/A
OVS,Sovetskiy Russian Federation,EYK,N/A
OWB,United States,BNA,N/A
OXB,Bissau,DSS,N/A
OZC,Philippines,CEB,N/A
OZG,Morocco,CMN,N/A
OZH,Ukraine,IEV,N/A
OZZ,Morocco,CMN,N/A
PAC,Panama,BOC,[ACU; BOC; CHX; CTD; DAV; JQE; PUE; SIC]
PAD,Germany,MUC,N/A
PAE,Everett United States,SFO,N/A
PAG,Philippines,MNL,N/A
PAH,Paducah United States,ORD,N/A
PAP,Port-Au-Prince,JBQ,[CAP; CMW; JBQ; SCU]
PAS,Greece,ATH,N/A
PAT,India,DEL,N/A
PAV,Brazil,REC,N/A
PAZ,Poza Rica Mexico,MEX,N/A
PBC,Puebla Mexico,MTY,N/A
PBD,India,AMD,N/A
PBG,United States,IAD,N/A
PBH,Bhutan,CCU,[BUT; GLU; PYG; YON]
PBI,West Palm Beach United States,EWR,N/A
PBJ,Paama island Vanuatu,ULB,N/A
PBM,Zandery,AMS,N/A
PBO,Australia,PER,N/A
PBR,Guatemala,GUA,N/A
PBU,Myanmar,MYT,N/A
PCL,Pucallpa Peru,LIM,N/A
PCN,New Zealand,WLG,N/A
PCP,Sao Tome and Principe,TMS,[TMS]
PCQ,Phongsaly Lao People's Democratic Republic,VTE,N/A
PCR,Colombia,BOG,N/A
PDA,Colombia,BOG,N/A
PDG,Padang Indonesia,CGK,N/A
PDK,Atlanta United States,LUK,N/A
PDL,Portugal,LIS,[HOR; PIX; SMA; TER]
PDP,Punta Del Este,AEP,N/A
PDS,Mexico,MEX,N/A
PDT,Pendleton United States,PDX,N/A
PDV,Bulgaria,STN,N/A
PDX,United States,SEA,[PDT; SEA]
PEC,United States,JNU,N/A
PED,Czech Republic,KBP,N/A
PEE,Perm Russian Federation,SVO,N/A
PEG,Italy,LIN,N/A
PEI,Pereira Colombia,BOG,N/A
PEK,Beijing,SHA,[BAV; CKG; CSX; CTU; DDG; DQA; FNJ; FOC; JMU; KHN; KWE; LLV; LZH; MIG; NNG; SYX; WUH; XIY; YIC; ZHY; ZUH]
PEM,Puerto Maldonado Peru,LIM,N/A
PEN,Malaysia,KUL,[MKZ; SZB]
PER,Australia,MEL,[ALH; BME; BWB; BYP; CJF; CVQ; EPR; GET; GTS; KGI; KTA; LEA; LER; LNO; MKR; MMG; ONS; PBO; PHE; SLJ; TEF; WME; XCH; ZNE]
PES,Russian Federation,VKO,N/A
PET,Brazil,POA,N/A
PEU,Honduras,TGU,N/A
PEW,Pakistan,DXB,N/A
PEX,Russian Federation,INA,[INA]
PEZ,Penza Russian Federation,DME,N/A
PFB,Passo Fundo Brazil,VCP,N/A
PFO,Cyprus,LGW,N/A
PFQ,Iran,THR,N/A
PGA,United States,PHX,[BLD; GCN]
PGD,United States,CVG,[LCK; PSM]
PGF,Perpignan France,ORY,N/A
PGH,India,DED,N/A
PGK,Indonesia,CGK,N/A
PGU,Iran,THR,N/A
PGV,United States,CLT,N/A
PGZ,Ponta Grossa Brazil,VCP,N/A
PHB,Brazil,THE,N/A
PHC,Nigeria,LOS,N/A
PHE,Australia,PER,N/A
PHF,United States,CLT,N/A
PHL,United States,BOS,[ART; BGR; HVN; IPT; ITH; MHT; PWM; SCE; SWF]
PHO,United States,OTZ,N/A
PHQ,Phosphate Hill Australia,TSV,N/A
PHS,Thailand,DMK,N/A
PHW,South Africa,JNB,N/A
PHX,United States,DEN,[ABQ; BFL; FLG; HHR; MRY; ONT; PGA; SBP; SOW; YUM]
PIA,United States,ORD,N/A
PIB,United States,DFW,N/A
PIE,Pinellas County United States,AVL,N/A
PIH,United States,SLC,N/A
PIK,United Kingdom,ALC,N/A
PIN,Parintins Brazil,MAO,[TMT]
PIO,Peru,CUZ,N/A
PIR,United States,DEN,N/A
PIS,Poitiers France,LRH,[LRH]
PIT,United States,LGA,[AOO; BFD; DUJ; JST; LNS; MGW]
PIU,Piura,LIM,N/A
PIX,Portugal,PDL,N/A
PIZ,United States,BRW,N/A
PJA,Sweden,LLA,N/A
PJG,Pakistan,KHI,N/A
PJM,Costa Rica,SJO,N/A
PKA,United States,BET,[WNA]
PKB,Parkersburg United States,BKW,N/A
PKC,Petropavlovsk Russian Federation,VVO,N/A
PKE,Australia,SYD,N/A
PKN,Pangkalan Bun Indonesia,SRG,N/A
PKO,Benin,COO,N/A
PKR,Nepal,KTM,[KTM]
